ID,escaneado,fonte,Ano,Decada,Condenação,Multa,TC,Relevante,Limítrofe,Motivo,
RJ-2013-06635,Não,ESJ,2013,2010,,,,,,,
RJ-2005-09823,Não,ESJ,2005,2000,,,,,,,
IA-2004-14,Não,ESJ,2004,2000,,,,,,,
RJ-2003-05753,Não,ESJ,2003,2000,,,,,,,
19957-006548-2019-19,Não,ESJ,2019,2010,,,,,,,
19957-004650-2017-18,Não,PCTC,2017,2010,,,,,,,
RJ-2001-03809,Não,ESJ,2001,2000,,,,,,,
19957-006989-2016-60,Sim,ESJ,2016,2010,,,,,,,
19957-004522-2017-66,Não,PCTC,2017,2010,,,,,,,
19957-003798-2017-27,Não,ESJ,2017,2010,,,,,,,
IA-1996-11,Não,ESJ,1996,1990,,,,,,,
RJ-2003-12233,Não,ESJ,2003,2000,,,,,,,
19957-000457-2020-03,Não,ESJ,2020,2020,,,,,,,
19957-006244-2020-87,Não,PCTC,2020,2020,,,,,,,
19957-001292-2022-41,Não,ESJ,2022,2020,,,,,,,
RJ-2008-06023,Não,ESJ,2008,2000,,,,,,,
19957-003480-2021-22,Não,ESJ,2021,2020,,,,,,,
RJ-2006-01296,Não,PCTC,2006,2000,,,,,,,
RJ-2011-10170,Não,PCTC,2011,2010,,,,,,,
RJ-2004-05303,Não,PCTC,2004,2000,,,,,,,
19957-006209-2016-81,Não,ESJ,2016,2010,,,,,,,
RJ-2015-04018,Não,ESJ,2015,2010,,,,,,,
RJ-2016-04453,Não,ESJ,2016,2010,,,,,,,
19957-010078-2018-07,Não,PCTC,2018,2010,,,,,,,
19957-003576-2020-18,Não,PCTC,2020,2020,,,,,,,
19957-008274-2018-11,Não,ESJ,2018,2010,,,,,,,
RJ-2004-00210,Não,ESJ,2004,2000,,,,,,,
IA-2014-07,Não,PCTC,2014,2010,,,,,,,
IA-2000-37,Não,ESJ,2000,2000,,,,,,,
RJ-2008-06250,Não,ESJ,2008,2000,,,,,,,
19957-001984-2022-99,Não,PCTC,2022,2020,,,,,,,
RJ-2013-05194,Não,ESJ,2013,2010,,,,,,,
RJ-2013-05066,Não,PCTC,2013,2010,,,,,,,
SP-2004-00602,Não,ESJ,2004,2000,,,,,,,
19957-003946-2017-11,Não,PCTC,2017,2010,,,,,,,
RJ-2010-11569,Não,PCTC,2010,2010,,,,,,,
RJ-2009-02146,Não,ESJ,2009,2000,,,,,,,
SP-2010-00266,Não,ESJ,2010,2010,,,,,,,
RJ-2012-04472,Não,ESJ,2012,2010,,,,,,,
RJ-2002-01153,Não,ESJ,2002,2000,,,,,,,
IA-2007-02,Não,ESJ,2007,2000,,,,,,,
RJ-2013-03484,Não,ESJ,2013,2010,,,,,,,
IA-2000-26,Não,ESJ,2000,2000,,,,,,,
RJ-2006-00180,Não,PCTC,2006,2000,,,,,,,
IA-2011-01,Não,ESJ,2011,2010,,,,,,,
RJ-2007-03613,Não,ESJ,2007,2000,,,,,,,
19957-010490-2017-38,Não,PCTC,2017,2010,,,,,,,
IA-2005-27,Não,ESJ,2005,2000,,,,,,,
19957-002292-2018-81,Não,PCTC,2018,2010,,,,,,,
